,index,Unicode_Character,character,structure,segment,pinyin,segment1,segment2,pinyin1,pinyin2,consonant,vowel,tone,consonant1,vowel1,tone1,consonant2,vowel2,tone2,segment1_sound,segment2_sound
142,191,U+04FC6,俆,0,亻余,xu2,亻,余,ren2,yu2,x,u,2,r,en,2,y,u,2,"[0, 0, 1]","[0, 1, 1]"
143,192,U+04FCA,俊,0,亻夋,jun4,亻,夋,ren2,qun1,j,un,4,r,en,2,q,un,1,"[0, 0, 0]","[0, 1, 0]"
144,193,U+04FCC,俌,0,亻甫,fu3,亻,甫,ren2,fu3,f,u,3,r,en,2,f,u,3,"[0, 0, 0]","[1, 1, 1]"
145,194,U+04FCE,俎,0,仌且,zu3,仌,且,bing1,qie3,z,u,3,b,ing,1,q,ie,3,"[0, 0, 0]","[0, 0, 1]"
146,195,U+04FD0,俐,0,亻利,li4,亻,利,ren2,li4,l,i,4,r,en,2,l,i,4,"[0, 0, 0]","[1, 1, 1]"
147,196,U+04FD1,俑,0,亻甬,yong3,亻,甬,ren2,yong3,y,ong,3,r,en,2,y,ong,3,"[0, 0, 0]","[1, 1, 1]"
148,197,U+04FD2,俒,0,亻完,hun4,亻,完,ren2,wan2,h,un,4,r,en,2,w,an,2,"[0, 0, 0]","[0, 0, 0]"
149,198,U+04FD4,俔,0,亻見,xian4,亻,見,ren2,jian4,x,ian,4,r,en,2,j,ian,4,"[0, 0, 0]","[0, 1, 1]"
150,199,U+04FD7,俗,0,亻谷,su2,亻,谷,ren2,gu3,s,u,2,r,en,2,g,u,3,"[0, 0, 1]","[0, 1, 0]"
151,200,U+04FD8,俘,0,亻孚,fu2,亻,孚,ren2,fu2,f,u,2,r,en,2,f,u,2,"[0, 0, 1]","[1, 1, 1]"
152,201,U+04FD9,俙,0,亻希,xi1,亻,希,ren2,xi1,x,i,1,r,en,2,x,i,1,"[0, 0, 0]","[1, 1, 1]"
153,202,U+04FDA,俚,0,亻里,li3,亻,里,ren2,li3,l,i,3,r,en,2,l,i,3,"[0, 0, 0]","[1, 1, 1]"
154,203,U+04FDB,俛,0,亻免,fu3,亻,免,ren2,mian3,f,u,3,r,en,2,m,ian,3,"[0, 0, 0]","[0, 0, 1]"
155,204,U+04FDC,俜,0,亻甹,ping1,亻,甹,ren2,ping2,p,ing,1,r,en,2,p,ing,2,"[0, 0, 0]","[1, 1, 0]"
156,205,U+04FDF,俟,0,亻矣,si4,亻,矣,ren2,yi3,s,i,4,r,en,2,y,i,3,"[0, 0, 0]","[0, 1, 0]"
157,206,U+04FE0,俠,0,亻夾,xia2,亻,夾,ren2,jia1,x,ia,2,r,en,2,j,ia,1,"[0, 0, 1]","[0, 1, 0]"
158,207,U+04FE1,信,0,亻言,xin4,亻,言,ren2,yan2,x,in,4,r,en,2,y,an,2,"[0, 0, 0]","[0, 0, 0]"
159,208,U+04FE3,俣,0,亻吴,yu3,亻,吴,ren2,wu2,y,u,3,r,en,2,w,u,2,"[0, 0, 0]","[0, 1, 0]"
160,209,U+04FE4,俤,0,亻弟,ti4,亻,弟,ren2,di4,t,i,4,r,en,2,d,i,4,"[0, 0, 0]","[0, 1, 1]"
161,210,U+04FE5,俥,0,亻車,che1,亻,車,ren2,che1,ch,e,1,r,en,2,ch,e,1,"[0, 0, 0]","[1, 1, 1]"
163,212,U+04FEE,修,8,攸彡,xiu1,攸,彡,you1,shan1,x,iu,1,y,ou,1,sh,an,1,"[0, 0, 1]","[0, 0, 1]"
164,213,U+04FEF,俯,0,亻府,fu3,亻,府,ren2,fu3,f,u,3,r,en,2,f,u,3,"[0, 0, 0]","[1, 1, 1]"
